Unnamed: 1,name,birth_year,death_year
associatedWith,"Higbie, Calvin H., d. 1914.",,
associatedWith,"Higginson, Margaret Waldo.",,
associatedWith,"Higginson, Mary Channing.",,
associatedWith,"Higginson, Thomas Wentworth",1823,1911
associatedWith,"Hill, Edwin Bliss",1866,1949
associatedWith,"Hill, Herbert E.",,
associatedWith,"Hirst, Robert H.,",,
associatedWith,"Hobson, Charles",,
associatedWith,"Hobson, Charles, 1943-",,
associatedWith,"Holbrook, Emma.",,
associatedWith,"Holbrook, Hal.",,
associatedWith,"Holcombe, R. I. (Return Ira)",1845,1916
associatedWith,"Holland, J. G. (Josiah Gilbert)",1819,1881
associatedWith,"Holmes, Harold C.",,
associatedWith,"Holmes, Oliver Wendell",1809,1894
associatedWith,Honoré de Balzac,,
correspondedWith,"Hosmer, H. L. (Hezekiah Lord)",1814,1893
associatedWith,Houghton Library.,,
associatedWith,"Houghton, Henry Oscar",1823,1895
associatedWith,"House, Edward Howard",1836,1901
associatedWith,"Housman, A. E. (Alfred Edward)",1859,1936
correspondedWith,"Howe, E. W. (Edgar Watson)",1853,1937
associatedWith,"Howe, E. W. (Edgar Watson)",1853,1937
correspondedWith,"Howe, M. A. De Wolfe (Mark Antony De Wolfe)",1864,1960
associatedWith,"Howe, W. T. H. (William Thomas Hildrup).",,
associatedWith,"Howe, Will David",1873,1946
associatedWith,"Howells, John Mead",1868,1959
associatedWith,"Howells, William Dean",1837,1920
correspondedWith,"Hubner, Charles W. (Charles William)",1835,1929
associatedWith,"Hughes, Robert M. (Robert Morton), b. 1855.",,
correspondedWith,"Ingersoll, Robert Green",1833,1899
associatedWith,"Irvine, Alexander",1863,1941
associatedWith,"Ives, David.",,
associatedWith,J. M. (James Morgan) Hart,1839,1916
associatedWith,"Jacobs, Ward.",,
correspondedWith,"James, William",1842,1910
associatedWith,"Jennings, John Joseph",1853,1909
correspondedWith,"Jennings, Louis J. (Louis John)",1836,1893
associatedWith,JESSIE TARBOX BEALS,1870,1942
associatedWith,"Joan, of Arc, Saint",1412,1431
associatedWith,John DeMerritt,,
associatedWith,"Johnson, Lockrem",1924,1977
